blob,exports,arch,bits,endian,machine,osabi,has_sensor_open_lib,has_eeprom_open_lib,has_actuator_open_lib,deps
dirac_resource.so,187,arch     hexagon,bits     32,endian   little,machine  QUALCOMM DSP6 Processor,os       linux,False,False,False,[Linked libraries];0 library
eglSubDriverAndroid.so,5,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libEGL_adreno.so;libcutils.so;libhardware.so;libgsl.so;vendor.qti.hardware.display.mapper@2.0.so;vendor.qti.hardware.display.mapper@3.0.so;android.hardware.graphics.mapper@3.0.so;vendor.qti.hardware.display.mapperextensions@1.1.so;vendor.qti.hardware.display.mapper@4.0.so;android.hardware.graphics.mapper@4.0.so;android.hardware.graphics.mapper@2.0.so;libhidlbase.so;libutils.so;libdl.so;libz.so;liblog.so;libc++.so;libc.so;libm.so;19 libraries
fingerprint.msm8953.so,228,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libbinder.so;libutils.so;lib_fpc_tac_shared.so;libQSEEComAPI.so;libc++.so;libdl.so;libc.so;libm.so;9 libraries
gatekeeper.msm8953.so,8,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
gf_fingerprint.default.so,13,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;libc.so;libc++.so;libbase.so;libdl.so;libhardware.so;libcrypto.so;libgf_hal.so;libgf_ca.so;libvendor.goodix.hardware.fingerprint@1.0.so;libvendor.goodix.hardware.fingerprint@1.0-service.so;libm.so;liblog.so;13 libraries
keystore.msm8953.so,61,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcrypto.so;libcutils.so;libhardware.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
lib-imsSDP.so,379,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;liblog.so;lib-imsdpl.so;lib-rtpcommon.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
lib-imscmservice.so,316,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libbase.so;libutils.so;libhidlbase.so;com.qualcomm.qti.imscmservice@2.0.so;lib-imsdpl.so;lib-imsqimf.so;lib-imsxml.so;libc++.so;libc.so;libm.so;libdl.so;13 libraries
lib-imsdpl.so,907,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libdiag.so;libqmiservices.so;libcutils.so;libutils.so;liblog.so;libtime_genoff.so;libcrypto.so;libssl.so;libandroid_net.so;libc++.so;libc.so;libm.so;libdl.so;13 libraries
lib-imsqimf.so,2439,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];lib-imsdpl.so;lib-imsxml.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
lib-imsrcs-v2.so,635,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];lib-imsdpl.so;lib-imsqimf.so;lib-imsxml.so;lib-siputility.so;libqmi_cci.so;liblog.so;libcutils.so;libbase.so;libutils.so;libhardware_legacy.so;libhardware.so;libhidlbase.so;libqmiservices.so;libqti_vndfwk_detect.so;lib-rcsconfig.so;libidl.so;com.qualcomm.qti.imscmservice@2.0.so;com.qualcomm.qti.uceservice@2.0.so;com.qualcomm.qti.uceservice@2.1.so;com.qualcomm.qti.uceservice@2.2.so;com.qualcomm.qti.uceservice@2.3.so;com.qualcomm.qti.imscmservice@2.1.so;com.qualcomm.qti.imscmservice@2.2.so;vendor.qti.ims.callinfo@1.0.so;vendor.qti.ims.rcsconfig@2.0.so;vendor.qti.ims.rcsconfig@2.1.so;vendor.qti.ims.factory@1.0.so;vendor.qti.ims.factory@1.1.so;vendor.qti.ims.callcapability@1.0.so;libc++.so;libc.so;libm.so;libdl.so;33 libraries
lib-imsrcsbaseimpl.so,251,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libbase.so;libutils.so;libhardware_legacy.so;libhardware.so;libhidlbase.so;libqmiservices.so;libqmi_cci.so;libqti_vndfwk_detect.so;libidl.so;com.qualcomm.qti.imscmservice@2.0.so;com.qualcomm.qti.imscmservice@2.1.so;com.qualcomm.qti.imscmservice@2.2.so;com.qualcomm.qti.uceservice@2.0.so;com.qualcomm.qti.uceservice@2.1.so;com.qualcomm.qti.uceservice@2.2.so;com.qualcomm.qti.uceservice@2.3.so;vendor.qti.ims.callinfo@1.0.so;vendor.qti.ims.factory@1.0.so;vendor.qti.ims.factory@1.1.so;libc++.so;libc.so;libm.so;libdl.so;25 libraries
lib-imsvtcore.so,499,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];librcc.so;libion.so;libhidlbase.so;vendor.qti.imsrtpservice@3.0.so;vendor.qti.imsrtpservice@3.0-service-Impl.so;libdiag.so;libcutils.so;libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;13 libraries
lib-imsxml.so,1726,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];lib-imsdpl.so;libcutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
lib-rcsconfig.so,225,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];lib-imsdpl.so;libqmi_cci.so;libcutils.so;libutils.so;liblog.so;libqmiservices.so;libqmi_csi.so;libdiag.so;libhidlbase.so;libhardware_legacy.so;libqti_vndfwk_detect.so;vendor.qti.ims.rcsconfig@2.0.so;vendor.qti.ims.rcsconfig@2.1.so;vendor.qti.ims.factory@1.0.so;vendor.qti.ims.factory@1.1.so;libc++.so;libc.so;libm.so;libdl.so;19 libraries
lib-rtpcommon.so,119,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libdiag.so;libcutils.so;libutils.so;liblog.so;lib-imsdpl.so;libc++.so;libc.so;libm.so;libdl.so;9 libraries
lib-rtpcore.so,700,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libdiag.so;libcutils.so;libutils.so;liblog.so;lib-imsdpl.so;lib-imsvtcore.so;lib-rtpcommon.so;libc++.so;libc.so;libm.so;libdl.so;11 libraries
lib-rtpsl.so,92,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;libutils.so;liblog.so;lib-imsdpl.so;lib-rtpcore.so;lib-rtpcommon.so;libqti_vndfwk_detect.so;libdiag.so;libc++.so;libc.so;libm.so;libdl.so;12 libraries
lib-siputility.so,264,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];lib-imsdpl.so;lib-imsxml.so;lib-imsqimf.so;liblog.so;libz.so;libc++.so;libc.so;libm.so;libdl.so;9 libraries
lib-uceservice.so,867,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libbase.so;libutils.so;libhidlbase.so;lib-imsdpl.so;lib-imsqimf.so;lib-imsxml.so;lib-siputility.so;libqti_vndfwk_detect.so;lib-imsSDP.so;lib-imscmservice.so;com.qualcomm.qti.imscmservice@2.0.so;com.qualcomm.qti.uceservice@2.0.so;libc++.so;libc.so;libm.so;libdl.so;18 libraries
libAlacSwDec.so,80,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libc++.so;libc.so;libm.so;libdl.so;5 libraries
libApeSwDec.so,99,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libc++.so;libc.so;libm.so;libdl.so;5 libraries
libC2D2.so,288,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libgsl.so;libcutils.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libCB.so,1440,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;liblog.so;libgsl.so;libutils.so;libvndksupport.so;libgralloc.qti.so;libgralloctypes.so;vendor.qti.hardware.display.mapper@4.0.so;android.hardware.graphics.mapper@4.0.so;vendor.qti.hardware.display.mapperextensions@1.0.so;vendor.qti.hardware.display.mapperextensions@1.1.so;libhidlbase.so;libc++.so;libc.so;libm.so;libdl.so;16 libraries
libEGL_adreno.so,153,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libadreno_utils.so;libgsl.so;libcutils.so;libdl.so;libz.so;liblog.so;libc++.so;libc.so;libm.so;9 libraries
libFastRPC_AUE_Forward_skel.so,478,arch     hexagon,bits     32,endian   little,machine  QUALCOMM DSP6 Processor,os       linux,False,False,False,[Linked libraries];libc.so;libFastRPC_UTF_Forward_skel.so;libgcc.so;3 libraries
libFastRPC_UTF_Forward_Qtc2_skel.so,1333,arch     hexagon,bits     32,endian   little,machine  QUALCOMM DSP6 Processor,os       linux,False,False,False,[Linked libraries];libc.so;libgcc.so;2 libraries
libGLESv1_CM_adreno.so,490,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libgsl.so;libcutils.so;libdl.so;libz.so;liblog.so;libc++.so;libc.so;libm.so;8 libraries
libGLESv2_adreno.so,548,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libadreno_utils.so;libgsl.so;libllvm-glnext.so;libcutils.so;libdl.so;libz.so;liblog.so;libc++.so;libc.so;libm.so;10 libraries
libGPreqcancel.so,50,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;libcutils.so;libdiag.so;liblog.so;libQSEEComAPI.so;libGPreqcancel_svc.so;libc++.so;libc.so;libm.so;libdl.so;10 libraries
libGPreqcancel_svc.so,51,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;libcutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libMpeg4SwEncoder.so,241,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxAacDec.so,92,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxAlacDec.so,92,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxAlacDecSw.so,96,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libOmxAmrDec.so,86,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxAmrwbplusDec.so,86,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxApeDec.so,92,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxApeDecSw.so,83,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libOmxEvrcDec.so,287,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxG711Dec.so,86,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxQcelp13Dec.so,293,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOmxSwVdec.so,106,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libswvdec.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libOmxSwVencMpeg4.so,189,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libMpeg4SwEncoder.so;libc2dcolorconvert.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libOmxVideoDSMode.so,280,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];liblog.so;libmmosal.so;libutils.so;libOmxCore.so;libwfdcommonutils_proprietary.so;libwfdmmservice.so;libbinder.so;libc++.so;libc.so;libm.so;libdl.so;11 libraries
libOmxVpp.so,83,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libutils.so;libbinder.so;libcutils.so;libmm-omxcore.so;libqdMetaData.so;libvpplibrary.so;libc++.so;libc.so;libm.so;libdl.so;11 libraries
libOmxWmaDec.so,93,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libOpenCL.so,451,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libcutils.so;libvndksupport.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libQSEEComAPI.so,77,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libion.so;libcutils.so;libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libStDrvInt.so,53,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libc++.so;libc.so;libm.so;libdl.so;5 libraries
lib_fpc_tac_shared.so,132,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libshims_binder.so;libQSEEComAPI.so;libc++.so;libdl.so;libc.so;libm.so;6 libraries
libacdb-fts.so,4,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libutils.so;liblog.so;libaudcal.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libacdbloader.so,103,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libutils.so;liblog.so;libaudcal.so;libtinyalsa.so;libacdbrtac.so;libadiertac.so;libacdb-fts.so;libc++.so;libc.so;libm.so;libdl.so;12 libraries
libacdbrtac.so,40,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libutils.so;liblog.so;libaudcal.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libactuator_oxygen_dw9763_sunny.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,True,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libactuator_oxygen_ov12a_ofilm_dw9718.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,True,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libactuator_oxygen_ov12a_sunny_dw9763.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,True,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libadaptlaunch.so,39,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;liblearningmodule.so;libmeters-ns.so;libsqlite.so;libqti-perfd-client.so;libc++.so;libc.so;libm.so;libdl.so;10 libraries
libadiertac.so,7,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libutils.so;liblog.so;libaudcal.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libadm.so,21,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libtinyalsa.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libadpcmdec.so,154,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libc++.so;libc.so;libm.so;libdl.so;4 libraries
libadreno_utils.so,122,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libgsl.so;libc++.so;libc.so;libm.so;libdl.so;5 libraries
libadsp_default_listener.so,4,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libadsprpc.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libadsprpc.so,46,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libhidlbase.so;libhardware.so;libutils.so;vendor.qti.hardware.dsp@1.0.so;liblog.so;libc.so;libcutils.so;libion.so;libc++.so;libm.so;libdl.so;11 libraries
libaoa.so,66,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libc++.so;libc.so;libm.so;libdl.so;4 libraries
libapps_mem_heap.so,9,arch     hexagon,bits     32,endian   little,machine  QUALCOMM DSP6 Processor,os       linux,False,False,False,[Linked libraries];libc.so;libgcc.so;2 libraries
libasn1cper.so,203,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libasn1crtx.so;libasn1crt.so;liblog.so;libgps.utils.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libasn1crt.so,659,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libasn1crtx.so;libc++.so;libc.so;libm.so;libdl.so;5 libraries
libasn1crtx.so,822,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libgps.utils.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libasphere.so,4,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libaudcal.so,300,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libdiag.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libaudio_log_utils.so,10,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libutils.so;libcutils.so;libexpat.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
libaudioparsers.so,27,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libutils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libaudiopreprocessing.so,7,arch     arm,bits     32,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libwebrtc_audio_preprocessing.so;libspeexresampler.so;libutils.so;liblog.so;libdl.so;libc++.so;libc.so;libm.so;8 libraries
libbtnv.so,10,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libc++.so;libc.so;libm.so;libdl.so;4 libraries
libbundlewrapper.so,13,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libdl.so;libc++.so;libc.so;libm.so;5 libraries
libc2d30-a3xx.so,363,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libgsl.so;libcutils.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libc2d30_bltlib.so,865,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libgsl.so;libcutils.so;libutils.so;libc++.so;libc.so;libm.so;libdl.so;7 libraries
libcacertclient.so,27,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libutils.so;libcutils.so;libhidlbase.so;vendor.qti.hardware.cacert@1.0.so;libc++.so;libc.so;libm.so;libdl.so;9 libraries
libcdfw.so,163,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libgps.utils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libcdfw_remote_api.so,56,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libgps.utils.so;liblog.so;libc++.so;libc.so;libm.so;libdl.so;6 libraries
libchromaflash.so,16,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];liblog.so;libdl.so;libz.so;libc.so;libm.so;libstdc++.so;6 libraries
libchromatix_oxygen_imx386_4K_preview.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_4K_video.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_common.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_hfr_120.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_liveshot.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_preview.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_snapshot.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_snapshot_hdr.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_video.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_cpp_video_hdr.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_default_preview.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_default_video.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_hdr_snapshot_3a.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_hdr_video_3a.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_hfr_120.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
libchromatix_oxygen_imx386_hfr_120_3a.so,8,arch     arm,bits     16,endian   little,machine  ARM,os       android,False,False,False,[Linked libraries];libcutils.so;libc++.so;libdl.so;libc.so;libm.so;5 libraries
